# file...... /gldportal/www/html/Scenario_0/simulation6_run146/Voltage_630.csv
# date...... Mon Aug 12 18:26:06 2013
# user...... (null)
# host...... (null)
# target.... meter 57
# trigger... (none)
# interval.. 600
# limit..... 144
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2401.48,-11.5697,-1197.05,-2083.7,-1205.9,+2095.02
2000-01-01 00:10:00 PST,+2400.95,-12.1466,-1197.44,-2082.69,-1203.73,+2095.07
2000-01-01 00:20:00 PST,+2410.07,-9.94722,-1202.09,-2092.43,-1200.8,+2089.25
2000-01-01 00:30:00 PST,+2409.36,-11.0974,-1203.04,-2090.71,-1199.98,+2089.29
2000-01-01 00:40:00 PST,+2409.14,-11.58,-1203.46,-2090.1,-1199.82,+2089.29
2000-01-01 00:50:00 PST,+2410.4,-14.7855,-1205.67,-2089.65,-1200.42,+2091.51
2000-01-01 01:00:00 PST,+2413.38,-12.9977,-1205.24,-2093.16,-1201.97,+2093.39
2000-01-01 01:10:00 PST,+2412.83,-13.9779,-1205.09,-2093.36,-1202.01,+2093.38
2000-01-01 01:20:00 PST,+2415.14,-13.7836,-1206.48,-2093.64,-1203.05,+2094.91
2000-01-01 01:30:00 PST,+2413.34,-15.1931,-1206.39,-2091.79,-1201.67,+2093.92
2000-01-01 01:40:00 PST,+2412.68,-16.3259,-1206.27,-2091.87,-1201.5,+2093.96
2000-01-01 01:50:00 PST,+2410.5,-16.1204,-1205.36,-2090.59,-1200.74,+2092.54
2000-01-01 02:00:00 PST,+2413.21,-15.8356,-1206.67,-2093.07,-1200.28,+2094.75
2000-01-01 02:10:00 PST,+2413.13,-16.272,-1207.49,-2091.78,-1200.53,+2094.84
2000-01-01 02:20:00 PST,+2415.66,-16.3321,-1208.95,-2093.01,-1201.88,+2096.74
2000-01-01 02:30:00 PST,+2414.53,-16.7787,-1207.93,-2095.38,-1201.41,+2096.97
2000-01-01 02:40:00 PST,+2414.51,-17.0989,-1208.75,-2094.24,-1201.63,+2097.02
2000-01-01 02:50:00 PST,+2412.82,-18.3164,-1208.87,-2090.92,-1201.71,+2095.49
2000-01-01 03:00:00 PST,+2413.09,-17.2082,-1208.84,-2090.81,-1199.42,+2094.99
