# file...... /gldportal/www/html/Scenario_0/simulation6_run146/Voltage_652.csv
# date...... Mon Aug 12 18:26:06 2013
# user...... (null)
# host...... (null)
# target.... node 65
# trigger... (none)
# interval.. 600
# limit..... 144
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:00 PST,+2368.13,-53.8511,+0,+0,+0,+0
2000-01-01 00:10:00 PST,+2368.42,-57.7696,+0,+0,+0,+0
2000-01-01 00:20:00 PST,+2385.68,-47.2298,+0,+0,+0,+0
2000-01-01 00:30:00 PST,+2369.45,-54.7226,+0,+0,+0,+0
2000-01-01 00:40:00 PST,+2357.77,-57.0963,+0,+0,+0,+0
2000-01-01 00:50:00 PST,+2319.83,-90.6053,+0,+0,+0,+0
2000-01-01 01:00:00 PST,+2357.1,-68.2585,+0,+0,+0,+0
2000-01-01 01:10:00 PST,+2345.22,-91.0834,+0,+0,+0,+0
2000-01-01 01:20:00 PST,+2350.12,-73.3651,+0,+0,+0,+0
2000-01-01 01:30:00 PST,+2332.92,-93.617,+0,+0,+0,+0
2000-01-01 01:40:00 PST,+2316.34,-115.341,+0,+0,+0,+0
2000-01-01 01:50:00 PST,+2305.8,-112.556,+0,+0,+0,+0
2000-01-01 02:00:00 PST,+2331.77,-115.716,+0,+0,+0,+0
2000-01-01 02:10:00 PST,+2321.71,-110.109,+0,+0,+0,+0
2000-01-01 02:20:00 PST,+2320.41,-102.538,+0,+0,+0,+0
2000-01-01 02:30:00 PST,+2309.2,-133.668,+0,+0,+0,+0
2000-01-01 02:40:00 PST,+2300.69,-130.163,+0,+0,+0,+0
2000-01-01 02:50:00 PST,+2276.58,-132.933,+0,+0,+0,+0
2000-01-01 03:00:00 PST,+2310.45,-122.313,+0,+0,+0,+0
2000-01-01 03:10:00 PST,+2294.44,-153.274,+0,+0,+0,+0
2000-01-01 03:20:00 PST,+2294.96,-129.383,+0,+0,+0,+0
2000-01-01 03:30:00 PST,+2305.19,-131.911,+0,+0,+0,+0
2000-01-01 03:40:00 PST,+2303.33,-131.863,+0,+0,+0,+0
2000-01-01 03:50:00 PST,+2302,-134.293,+0,+0,+0,+0
2000-01-01 04:00:00 PST,+2269.52,-160.878,+0,+0,+0,+0
2000-01-01 04:10:00 PST,+2289.58,-138.367,+0,+0,+0,+0
2000-01-01 04:20:00 PST,+2312.48,-134.939,+0,+0,+0,+0
2000-01-01 04:30:00 PST,+2289.76,-138.652,+0,+0,+0,+0
2000-01-01 04:40:00 PST,+2301.24,-133.174,+0,+0,+0,+0
2000-01-01 04:50:00 PST,+2273.84,-151.031,+0,+0,+0,+0
2000-01-01 05:00:00 PST,+2286.8,-158.982,+0,+0,+0,+0
2000-01-01 05:10:00 PST,+2239.93,-184.463,+0,+0,+0,+0
2000-01-01 05:20:00 PST,+2245.76,-191.328,+0,+0,+0,+0
2000-01-01 05:30:00 PST,+2240.4,-191.995,+0,+0,+0,+0
